      WELL DATA SUMMARY                                                                                      
            
Well  BLM 23-19     
                         
Sec Az    0 NORTH   
Elev   4136 KB      
CoordsNorth  247923 East              2350998 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      24  156                        4136     0     0     0     0     0        0  247923  2350998 
  124  1.00      24  156   124     1      124   4012    -1     0    -1     0    -1       -1  247922  2350998 
  136  1.00      24  156    12     0      136   4000     0     0    -1     1     0       -1  247922  2350999 
  266  1.00      27  153   142     2      266   3870    -2     1    -3     2    -2       -3  247920  2351000 
  470  2.00      84   84   204     5      470   3666    -3     5    -6     6    -3       -6  247917  2351004 
  500  1.94      82   89    30     1      500   3636     0     1    -6     7     0       -6  247917  2351005 
  591  1.75      75  105   121     4      591   3545     0     4    -6    10     0       -6  247917  2351008 
  665  2.25      75  105    74     3      665   3471    -1     2    -7    13    -1       -7  247916  2351011 
  728  2.08      78  102    63     2      728   3408    -1     2    -7    15    -1       -7  247916  2351013 
  759  2.00      79  101    94     3      759   3377    -1     3    -8    16    -1       -8  247915  2351014 
  884  1.50      81   99   125     4      884   3252    -1     4    -8    20    -1       -8  247915  2351018 
  968  1.75      80  100    84     2      968   3168     0     2    -9    22     0       -9  247914  2351020 
 1000  1.54      77  103    32     1     1000   3136     0     1    -9    23     0       -9  247914  2351021 
 1043  1.25      72  108    75     2     1043   3093     0     2    -9    24     0       -9  247914  2351022 
 1136  1.06      80  101    93     2     1136   3000     0     2   -10    26     0      -10  247913  2351024 
 1167  1.00      82   98   124     2     1167   2969    -1     2   -10    26    -1      -10  247913  2351024 
 1290  1.00      84   96   123     2     1290   2846     0     2   -10    29     0      -10  247913  2351027 
 1379  1.00      84   96    89     2     1379   2757     0     2   -10    30     0      -10  247913  2351028 
 1474  1.00      46   46    95     2     1474   2662     1     2    -9    32     1       -9  247914  2351030 
 1500  0.94      45   45    26     0     1500   2636     0     0    -9    32     0       -9  247914  2351030 
 1578  0.75      40   40   104     2     1578   2558     1     1    -8    33     1       -8  247915  2351031 
 1672  1.00      48   48    94     1     1672   2464     1     1    -7    34     1       -7  247916  2351032 
 1767  1.50      84   84    95     2     1766   2370     1     2    -6    36     1       -6  247917  2351034 
 1862  1.50      80   80    95     2     1861   2275     0     2    -6    38     0       -6  247917  2351036 
 1949  1.50      88   88    87     2     1948   2188     0     2    -6    40     0       -6  247917  2351038 
 2000  1.50      80   80    51     1     1999   2137     0     1    -6    42     0       -6  247917  2351040 
 2047  1.50      72   72    98     3     2046   2090     0     3    -5    43     0       -5  247918  2351041 
 2137  1.25      64   64    90     2     2136   2000     1     2    -5    45     1       -5  247918  2351043 
 2218  1.25      64   64    81     2     2217   1919     1     2    -4    46     1       -4  247919  2351044 
 2312  1.25      48   48    94     2     2311   1825     1     2    -3    48     1       -3  247920  2351046 
 2406  1.00      47   47    94     2     2405   1731     1     1    -1    50     1       -1  247922  2351048 
 2500  2.98      31   31    94     3     2499   1637     3     2     1    52     3        1  247924  2351050 
 2501  3.00      31   31    95     3     2500   1636     3     2     1    52     3        1  247924  2351050 
