      WELL DATA SUMMARY                                                                                      
            
Well  BLM 88-20RD   
                         
Sec Az227.2    N46W 
Elev   3889 KB      
CoordsNorth  245409 East              2360723 
                         Course               
  MD  Drift Drift D.Azim Length  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      31   31                        3889     0     0     0     0     0        0  245409  2360723 
  209  0.75      31   31   209     1      209   3680     1     1     1     1    -1       -1  245410  2360724 
  361  0.75      61   61   152     2      361   3528     1     1     3     2    -2       -3  245412  2360725 
  454  0.75      64  116    93     1      454   3435     0     1     3     3    -1       -4  245412  2360726 
  500  0.84      63  117    46     1      500   3389     0     1     2     4     0       -4  245411  2360727 
  582  1.00      62  118   128     2      582   3307    -1     2     2     5    -1       -5  245411  2360728 
  699  1.00      61  119   117     2      699   3190    -1     2     1     7    -1       -6  245410  2360730 
  811  0.75      38  142   112     2      811   3078    -1     1     0     8     0       -6  245409  2360731 
  889  0.75      73  107    78     1      889   3000    -1     1    -1     9     0       -6  245408  2360732 
  908  0.75      81   99    97     1      908   2981    -1     1    -1     9     0       -6  245408  2360732 
 1000  0.75      73  107    92     1     1000   2889     0     1    -1    10    -1       -7  245408  2360733 
 1040  0.75      69  111   132     2     1040   2849     0     2    -1    11    -1       -7  245408  2360734 
 1158  0.75      88   88   118     2     1158   2731     0     2    -2    12    -1       -8  245407  2360735 
 1291  0.75      37  323   133    -2     1291   2598     2     1     0    13    -2      -10  245409  2360736 
 1418  1.00      46  314   127     2     1418   2471     1    -1     1    12     0      -10  245410  2360735 
 1500  0.83      72  288    82     1     1500   2389     1    -1     2    11     0       -9  245411  2360734 
 1541  0.75      85  275   123     2     1541   2348     1    -2     2    10     1       -9  245411  2360733 
 1658  0.75      72  288   117     2     1658   2231     0    -2     2     9     1       -8  245411  2360732 
 1768  0.75      26  154   110     1     1768   2121    -1    -1     1     8     1       -7  245410  2360731 
 1884  0.75      11  169   116     2     1884   2005    -1     0     0     8     1       -6  245409  2360731 
 1889  0.76      13  167     5     0     1889   2000     0     0     0     8     0       -6  245409  2360731 
 2000  0.98      48  132   116     2     2000   1889    -2     1    -2     9     0       -6  245407  2360732 
 2009  1.00      51  129   125     2     2009   1880    -2     1    -2     9     0       -6  245407  2360732 
 2106  0.75      36  144    97     1     2106   1783    -1     1    -3    10     0       -6  245406  2360733 
 2240  0.75      64  116   134     2     2240   1649    -1     1    -4    12     0       -6  245405  2360735 
 2386  0.75      58  122   146     2     2386   1503    -1     2    -5    13    -1       -6  245404  2360736 
 2400  1.00      63  117    14     0     2400   1489     0     0    -5    13     0       -6  245404  2360736 
 2425  1.25      40  220    25     0     2425   1464     0     0    -6    14     0       -6  245403  2360737 
 2457  2.25      48  228    32     1     2457   1432    -1    -1    -6    13     1       -5  245403  2360736 
 2487  2.75      56  236    30     1     2487   1402    -1    -1    -7    12     1       -4  245402  2360735 
 2518  3.25      51  231    31     2     2518   1371    -1    -1    -8    11     2       -2  245401  2360734 
 2549  4.25      50  230    31     2     2549   1340    -1    -2    -9     9     2        0  245400  2360732 
